AtcoCode,CommonName,Easting,Northing,Longitude,LocalityName,Latitude,ShortCommonName,Street,Status,Indicator,StopType,,
700000000074,Upper Dunmurry Lane (Corrina Park),328446,369795,-6.0152432904,Belfast Metro Ops,54.5601476048,,,active,,BusCoachTramOnStreetPoint,,
700000000075,Carolhill,337795,375455,-5.8681659375,Belfast Metro Ops,54.6085050885,,,active,,BusCoachTramOnStreetPoint,,
700000000076,Upper Dunmurry Lane (Corrina Park),328401,369834,-6.0159214395,Belfast Metro Ops,54.5605091395,,,active,,BusCoachTramOnStreetPoint,,
700000000077,Inverary Avenue,337672,375465,-5.8700775736,Belfast Metro Ops,54.6086239252,,,active,,BusCoachTramOnStreetPoint,,
700000000078,Upper Dunmurry Lane (Glengoland),328301,370018,-6.0173860722,Belfast Metro Ops,54.562186367,,,active,,BusCoachTramOnStreetPoint,,
700000000079,Inverleith Drive,337559,375542,-5.8717890214,Belfast Metro Ops,54.6093458824,,,active,,BusCoachTramOnStreetPoint,,
700000000080,Upper Dunmurry Lane (Cherry Road),328749,369451,-6.0107129797,Belfast Metro Ops,54.5569823909,,,active,,BusCoachTramOnStreetPoint,,
700000000081,Inverary Playing Fields,337440,375619,-5.8735933223,Belfast Metro Ops,54.6100694463,,,active,,BusCoachTramOnStreetPoint,,
700000000082,Cherry Road,328553,369127,-6.0138819101,Belfast Metro Ops,54.5541233714,,,active,,BusCoachTramOnStreetPoint,,
700000000083,Sydenham Station,337212,375508,-5.8771713076,Belfast Metro Ops,54.6091349177,,,active,,BusCoachTramOnStreetPoint,,
700000000084,Cherry Park,328360,369065,-6.0168899197,Belfast Metro Ops,54.5536156668,,,active,,BusCoachTramOnStreetPoint,,
700000000085,Station Road,337322,375402,-5.8755197281,Belfast Metro Ops,54.6081535218,,,active,,BusCoachTramOnStreetPoint,,
700000000086,Aspen Walk,328206,369208,-6.019206282,Belfast Metro Ops,54.5549384583,,,active,,BusCoachTramOnStreetPoint,,
700000000087,Palmerston Road (Station Road),337399,375300,-5.8743766776,Belfast Metro Ops,54.6072169755,,,active,,BusCoachTramOnStreetPoint,,
700000000088,St Luke's,328037,369205,-6.0218179486,Belfast Metro Ops,54.5549542459,,,active,,BusCoachTramOnStreetPoint,,
700000000089,Larkfield Road,337219,375064,-5.877270529,Belfast Metro Ops,54.6051472964,,,active,,BusCoachTramOnStreetPoint,,
700000000090,St Luke's,328032,369209,-6.0218934399,Belfast Metro Ops,54.5549914199,,,active,,BusCoachTramOnStreetPoint,,
700000000091,Connsbrook Avenue (Larkfield),337060,375067,-5.87971613,Belfast Metro Ops,54.60522048,,,active,,BusCoachTramOnStreetPoint,,
700000000092,Aspen Walk,328217,369210,-6.0190355065,Belfast Metro Ops,54.5549536311,,,active,,BusCoachTramOnStreetPoint,,
700000000093,Strandburn Drive,336979,374905,-5.88104569,Belfast Metro Ops,54.60379248,,,active,,BusCoachTramOnStreetPoint,,
700000000094,Cherry Park,328351,369077,-6.0170237003,Belfast Metro Ops,54.5537256785,,,active,,BusCoachTramOnStreetPoint,,
700000000095,Parkgate Avenue,336918,374783,-5.88204635,Belfast Metro Ops,54.60270723,,,active,,BusCoachTramOnStreetPoint,,
700000000096,Cherry Road,328566,369159,-6.0136671531,Belfast Metro Ops,54.5544073604,,,active,,BusCoachTramOnStreetPoint,,
700000000097,Glendale Court,336768,374489,-5.8845123471,Belfast Metro Ops,54.6001077056,,,active,,BusCoachTramOnStreetPoint,,
700000000098,Upper Dunmurry Lane (Cherry Road),328771,369412,-6.0103902039,Belfast Metro Ops,54.5566266721,,,active,,BusCoachTramOnStreetPoint,,
700000000099,Connsbrook Avenue,336737,374368,-5.8850479773,Belfast Metro Ops,54.5990298778,,,active,,BusCoachTramOnStreetPoint,,
700000000100,Upper Dunmurry Lane (Credenhill),328633,369559,-6.0124576223,Belfast Metro Ops,54.5579814369,,,active,,BusCoachTramOnStreetPoint,,
700000000101,Holywood Arches,336631,374278,-5.8867287306,Belfast Metro Ops,54.5982505875,,,active,,BusCoachTramOnStreetPoint,,
700000000102,Old Colin,328063,370108,-6.0210104801,Belfast Metro Ops,54.5630627992,,,active,,BusCoachTramOnStreetPoint,,
700000000103,Connswater,336155,374171,-5.89413482,Belfast Metro Ops,54.59742198,,,active,,BusCoachTramOnStreetPoint,,
700000000104,Laurelbank,327690,370117,-6.0267823012,Belfast Metro Ops,54.5632295067,,,active,,BusCoachTramOnStreetPoint,,
700000000105,Hunt Street,336173,374261,-5.8938177843,Belfast Metro Ops,54.598221435,,,active,,BusCoachTramOnStreetPoint,,
700000000106,Poleglass (Pembroke Loop),327684,370386,-6.0267583366,Belfast Metro Ops,54.5656460348,,,active,,BusCoachTramOnStreetPoint,,
700000000107,Dee Street,335927,374308,-5.8975994737,Belfast Metro Ops,54.5987094922,,,active,,BusCoachTramOnStreetPoint,,
700000000108,Pembroke Manor,327881,370607,-6.0236186819,Belfast Metro Ops,54.5675804277,,,active,,BusCoachTramOnStreetPoint,,
700000000109,Templemore Avenue,335675,374356,-5.9014735637,Belfast Metro Ops,54.5992080178,,,active,,BusCoachTramOnStreetPoint,,
700000000110,Colinbrook Avenue,327681,370911,-6.0265769614,Belfast Metro Ops,54.5703601091,,,active,,BusCoachTramOnStreetPoint,,
700000000111,Tower Street,335539,374382,-5.9035643392,Belfast Metro Ops,54.5994778671,,,active,,BusCoachTramOnStreetPoint,,
700000000112,Springbank Close,327588,370755,-6.0280816055,Belfast Metro Ops,54.5689830125,,,active,,BusCoachTramOnStreetPoint,,
700000000113,Bryson Street,335348,374420,-5.9065000127,Belfast Metro Ops,54.5998701196,,,active,,BusCoachTramOnStreetPoint,,
700000000114,Springbank Drive,327493,370637,-6.0296005906,Belfast Metro Ops,54.5679475545,,,active,,BusCoachTramOnStreetPoint,,
700000000115,Short Strand (Newtownards Road),335182,374449,-5.90903915,Belfast Metro Ops,54.60017728,,,active,,BusCoachTramOnStreetPoint,,
700000000116,Pantridge Road (Pembrooke Loop),327568,370211,-6.0286263685,Belfast Metro Ops,54.5641041474,,,active,,BusCoachTramOnStreetPoint,,
700000000117,Bridge End,334664,374388,-5.9170906328,Belfast Metro Ops,54.5997653516,,,active,,BusCoachTramOnStreetPoint,,
700000000118,Laurelbank,327704,370125,-6.0265625439,Belfast Metro Ops,54.5632978004,,,active,,BusCoachTramOnStreetPoint,,
700000000119,Oxford Street,334372,374284,-5.9216530842,Belfast Metro Ops,54.598909358,,,active,,BusCoachTramOnStreetPoint,,
700000000120,Old Colin,328058,370141,-6.0210866044,Belfast Metro Ops,54.5633520986,,,active,,BusCoachTramOnStreetPoint,,
700000000121,Waterfront Hall,334391,374126,-5.92141798,Belfast Metro Ops,54.59748866,,,active,,BusCoachTramOnStreetPoint,,
700000000122,Brian's Well Close,327195,370094,-6.034439579,Belfast Metro Ops,54.5631475213,,,active,,BusCoachTramOnStreetPoint,,
700000000123,East Bridge Street (Central Station),334613,373926,-5.91808461,Belfast Metro Ops,54.59563867,,,active,,BusCoachTramOnStreetPoint,,
700000000124,Brian's Well Road (Glenkeen),327104,369857,-6.0359477533,Belfast Metro Ops,54.5610426167,,,active,,BusCoachTramOnStreetPoint,,
700000000125,Short Strand (Albert Bridge Road),335212,373948,-5.90881804,Belfast Metro Ops,54.59567206,,,active,,BusCoachTramOnStreetPoint,,
700000000126,Brian's Well Close,327203,370135,-6.0342982731,Belfast Metro Ops,54.5635136026,,,active,,BusCoachTramOnStreetPoint,,
700000000128,Bell Steel Road (Glenwood),327506,369800,-6.0297574278,Belfast Metro Ops,54.560432776,,,active,,BusCoachTramOnStreetPoint,,
700000000129,Templemore Avenue,335608,373921,-5.9027102497,Belfast Metro Ops,54.5953209768,,,active,,BusCoachTramOnStreetPoint,,
700000000130,Bell Steel Road (Woodside),327534,369340,-6.0295288419,Belfast Metro Ops,54.5562930647,,,active,,BusCoachTramOnStreetPoint,,
700000000132,Bell Steel Road (Stewartstown Road),327739,369450,-6.0263146076,Belfast Metro Ops,54.5572289913,,,active,,BusCoachTramOnStreetPoint,,
700000000133,Hornby Street,335891,374055,-5.89826822,Belfast Metro Ops,54.59645536,,,active,,BusCoachTramOnStreetPoint,,
700000000134,Donegall Square North,333779,374103,-5.93090011,Belfast Metro Ops,54.59744238,,,active,,BusCoachTramOnStreetPoint,,
700000000136,Upper Queen Steet,333638,373991,-5.9331352442,Belfast Metro Ops,54.5964734227,,,active,,BusCoachTramOnStreetPoint,,
700000000137,Strandtown,336898,374438,-5.8825260933,Belfast Metro Ops,54.5996147289,,,active,,BusCoachTramOnStreetPoint,,
700000000138,Upper Queen Steet,333644,373950,-5.9330611266,Belfast Europa,54.5961037735,,,active,,BusCoachTramOnStreetPoint,,
700000000139,Strand Cinema,337064,374533,-5.8799151655,Belfast Metro Ops,54.6004225944,,,active,,BusCoachTramOnStreetPoint,,
700000000140,Opera House,333497,373904,-5.9353547449,Belfast Metro Ops,54.5957296209,,,active,,BusCoachTramOnStreetPoint,,
700000000141,Holywood Road (Park Avenue),337171,374624,-5.878218265,Belfast Metro Ops,54.6012104935,,,active,,BusCoachTramOnStreetPoint,,
700000000142,Spendlove's,333222,373873,-5.9396204585,Belfast Metro Ops,54.5955237939,,,active,,BusCoachTramOnStreetPoint,,
700000000143,St Mark's,337370,374881,-5.87501837,Belfast Metro Ops,54.60347195,,,active,,BusCoachTramOnStreetPoint,,
700000000144,Grosvenor Road Rec. Centre,332901,373838,-5.94459191,Belfast Metro Ops,54.59530051,,,active,,BusCoachTramOnStreetPoint,,
700000000145,Clonaver,337497,375046,-5.872980102,Belfast Metro Ops,54.6049102333,,,active,,BusCoachTramOnStreetPoint,,
700000000146,184 Grosvenor Road,332731,373823,-5.9472341824,Belfast Metro Ops,54.5952039445,,,active,,BusCoachTramOnStreetPoint,,
700000000147,Tudordale,337657,375283,-5.8703948672,Belfast Metro Ops,54.6069942278,,,active,,BusCoachTramOnStreetPoint,,
700000000148,Grosvenor Road 210,332570,373808,-5.9497300868,Belfast Metro Ops,54.595111485,,,active,,BusCoachTramOnStreetPoint,,
700000000149,Garnerville Road,338284,376206,-5.8602641242,Belfast Metro Ops,54.6151087592,,,active,,BusCoachTramOnStreetPoint,,
700000000151,55 Garnerville Road,338516,376176,-5.8566899114,Belfast Metro Ops,54.6147759658,,,active,,BusCoachTramOnStreetPoint,,
700000000152,Royal Hospitals (Grosvenor Road),332340,373839,-5.9532720363,Belfast Metro Ops,54.5954499777,,,active,,BusCoachTramOnStreetPoint,,
700000000153,Upper Garnaville Road,338767,376186,-5.852802979,Belfast Metro Ops,54.6147969223,,,active,,BusCoachTramOnStreetPoint,,
700000000154,Springfield Road - Inner Zone,332147,373900,-5.9562285075,Belfast Metro Ops,54.5960480267,,,active,,BusCoachTramOnStreetPoint,,
700000000155,Tudordale,337700,375308,-5.8697158884,Belfast Metro Ops,54.6072153505,,,active,,BusCoachTramOnStreetPoint,,
700000000156,Iris Street,332024,374027,-5.958073134,Belfast Metro Ops,54.5972202507,,,active,,BusCoachTramOnStreetPoint,,
700000000157,Old Holywood Road,338795,375943,-5.8524848064,Belfast Metro Ops,54.612607901,,,active,,BusCoachTramOnStreetPoint,,
